17,6338,6338,143,9415,9415,5946,10956,143,74052,74052,20170,41717,5946,9415,20170,36285,8724,8724,8724,143,143,16258,39660,89548,5877,6151,6151,41717,39660,5878,5878,5878,16258,36285,10956,2143,10956,66991,206,39660,39660,10956,16166,16166,48592,48592,41717,12120,7245,7245
28,116890,116890,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,114634,88851,88851,88851,34587,17724,17724,45360,108361,42615,80160,80160,108361,29714
39,62741,83166,85318,64920,83484,68790,64920,48544,54940,100371,100371,48544,52067,91756,48611,67862,83484,40795,104127,62741,40795,76370,84134,107269,107269,107269,68790,100371,54940,48611,89969,107269,107269,27206,84134,48611,100460,76370,85759,85759,38732,72463,63485,15964,15964,68790,104714,87848,87368,104127
61,109037,108224,98815,59036,71372,71372,112211,107444,71372,71372,71372,71372,103328,71372,109934,81772,81772,101211,99373,99373,72395,49594,108401,97395,105002,106683,72395,99054,89148,109934,109934,66954,78070,78070,104456,73685,99373,101157,26340,26340,104456,63579,73887,89618,113732,73685,87042,110021,84122,84122
116,65835,45349,24019,103128,103128,45349,869,45349,112580,91602,110104,110104,93674,110104,10983,24019,66855,60060,100504,100504,66855,112580,97014,15965,94075,63487,100504,107578,110935,110935,110935,110935,107578,68355,96593,51041,66424,57690,88954,91604,105998,96593,97199,105510,65840,90516,101380,23872,51041,51041
127,101576,57849,57849,57849,57849,57849,57849,65393,65393,65393,65393,65393,65393,65393,65393,65393,65393,65393,65393,65393,3500,3500,3500,65393,65393,65393,65393,65393,8666,16218,33359,23470,33359,33359,17489,10832,10832,8666,8643,8666,25898,25898,25898,25898,28828,9134,9134,28828,16218,16218
138,82843,11569,113632,113632,70210,113632,113135,92259,85013,75055,45467,45467,77331,68868,46027,113632,38854,100454,49587,102824,113135,45467,69369,66104,68569,68569,113632,51387,52979,69247,69247,38058,75055,81696,100454,100454,92259,101509,68569,68569,85122,55928,113133,52979,79559,79559,75078,75055,88563,107821
149,63485,100122,74332,17250,55300,55300,55300,100122,34917,17250,98333,100122,100122,100122,98836,98836,98836,46173,46173,47248,47248,30543,108546,43033,55300,41272,16274,39371,39371,47248,55670,36712,98836,34518,107168,34518,17647,98836,103236,107645,65312,103849,47248,55477,55477,103236,21286,34518,41272,103326
160,113971,113971,113971,113971,113971,113971,113971,113971,113971,113971,113971,113971,113971,33395,117362,110389,117456,117456,31291,116680,52148,54380,65442,114726,117456,112001,112001,112001,54380,114450,114450,84383,117362,113753,82650,113753,83710,49335,105227,65442,13640,89741,113673,114726,92515,92515,92515,92515,92515,92515
193,42537,67916,36904,407,88866,29588,29588,75824,62248,13638,63173,36904,33943,48273,67966,49096,41566,54541,67916,39520,49987,88866,23548,65343,91763,67484,73341,67916,62248,13638,13638,13638,13638,70002,66624,66624,88866,75824,88866,19610,33751,100095,47239,24905,24905,24905,84719,90292,85401,51465
