17,7936,16258,6918,6151,95499,143,22391,8724,71189,38168,932,16166,3113,66991,54193,5946,62779,36285,3648,111937,6338,74052,9415,5192,20170,10956,89548,206,7245,48592,26704,73937,12120,48347,25309,2143,1131,39660,39404,45804,7792,26992,56692,41717,5877,5878,1399,24411,71978,6950
28,16258,50696,84108,32140,29714,88851,104470,116890,34587,109722,39706,80160,67247,45360,62001,4275,48053,100150,108600,2617,62779,17724,114373,88774,108361,114634,39626,3161,113378,42468,41829,107623,61675,34415,35568,42615,22139,44534,31673,35264,104711,9032,95487,31531,39475,5577,19270,31044,79771,80079
39,31873,107269,104714,72463,73361,100371,62741,67862,76181,64920,96407,54940,83484,72604,48544,75937,27424,84134,87848,52521,87218,68790,86329,69305,104127,85318,27206,87368,61638,39371,38732,17995,104782,73294,55632,76370,42965,90581,40795,15964,20829,83166,34270,53344,52067,48611,47846,92905,91756,100460
61,87042,102659,98438,30087,104456,111878,66954,21255,104205,58765,89618,36247,84122,101402,59036,102045,69916,73887,103328,93601,86045,4516,101157,105002,71594,74282,99373,60079,107444,65975,104632,82616,49594,106683,89148,59323,52411,108224,113732,110021,92234,72395,71372,85964,112211,73685,82648,101211,63579,58462
116,68355,101380,54275,98952,107643,69517,105998,21778,20883,90516,110104,100504,60060,45349,105510,66855,66854,66857,65835,97199,65840,49071,96944,16307,67896,107578,65852,23872,112580,46917,89413,28487,35917,96590,96593,91602,24019,91604,49105,98772,110935,103128,42201,57690,39387,15965,51041,98,71779,73828
127,62601,10124,24470,28828,108061,4386,33187,82595,42918,25898,3500,35757,23470,9134,24628,7605,80697,4540,6845,35393,8643,14020,101576,23240,33359,10832,17489,72400,68435,20179,8666,16218,63452,48986,67676,37218,12270,65393,20598,57849,32762,17417,30320,71978,107299,96115,4967,91164,87565,35264
138,85122,68868,101509,84487,42376,71311,77331,99092,85013,70297,98586,45467,82843,84383,81696,102824,15145,38058,107821,75055,105903,11569,28977,49587,113587,33078,66104,51387,104380,90046,111808,70210,8260,38854,79559,75078,58567,61514,46027,32714,82640,66900,68569,110429,25437,113632,54753,102114,92259,61152
149,108546,55300,48520,103180,35340,64142,38031,47248,73101,16274,98836,107645,43033,100122,116507,56092,98333,103326,107168,65312,21286,60710,103849,67757,20784,55477,10549,41272,31417,64187,14912,52161,106305,76227,103236,39371,30543,26450,34518,48214,74332,46173,17250,34917,60007,36712,49897,112364,17647,65391
160,112640,112001,53758,113673,105227,89741,114450,77331,85140,111639,84383,9631,93729,65442,53413,114726,10024,111787,86189,108286,88878,28080,113971,52148,110389,110645,49335,16184,31291,108734,112830,57414,116680,13640,106186,117456,116560,115920,82641,113753,82650,92515,54380,110189,117362,33395,68341,83710,71978,31673
193,84608,65921,899,18181,47239,51465,54541,48273,32147,29588,407,33943,85401,19610,86298,67484,93849,88866,66083,30372,49318,4007,36904,42537,62248,88490,52398,75824,90292,49206,71223,46647,25402,65343,66624,49987,63173,13638,49096,24905,97355,67916,37067,88143,33751,47707,72028,41566,39520,18913
