1,10255,93717,21015,5655,15394,63013,42022,15918,78385,80440,83514,81979,95805,4685,19027,91231,35939,18537,53357,82035,17019,79998,109189,19078,46730,12429,45198,81561,48284,46757,21671,42155,1196,9389,46261,704,35012,44741,61129,15564,47821,27863,2268,50909,15583,15586,69359,91902,46335,38147
2,30208,91143,81417,40460,106510,27675,56348,113694,76319,48165,98855,110631,67625,45621,29240,97339,98876,112704,102473,3158,57946,31323,89179,35938,106086,107,75373,52342,46199,5753,68224,66182,103054,18071,41624,52902,100028,5826,72903,29387,94417,114391,114397,92384,19691,96505,56058,63244,53520,37650
3,94722,76806,8207,78868,68634,48154,3614,14369,90661,16424,112177,63028,73269,49744,69717,110172,36462,26223,121,69754,17019,13441,25219,51343,27292,59555,72872,67246,79029,9923,92873,46799,23763,79065,57563,112860,100577,91875,106214,36071,25322,77043,50932,7924,76022,77047,55544,93433,23292,77056
11,30208,52742,38922,40460,109070,45587,35860,113694,48165,50222,114224,114231,88636,98876,94788,55365,88653,57934,44114,49234,31323,66653,35938,76390,78952,75373,66157,57971,109189,101511,66184,105615,11413,108182,52373,30906,31937,51913,29387,110812,114397,79583,57571,37094,69369,46335,77569,116486,92423,53520
13,59910,55307,95758,67605,111639,73759,43555,33319,39981,17460,70204,104515,89684,57942,21079,57432,94806,8795,66653,65125,67174,70758,24168,16530,10902,11930,11933,91294,99999,53413,33960,106666,70322,57525,52409,112830,32965,117447,113868,42193,37073,51928,44775,96491,63211,52979,42745,86266,12027,77569
15,25089,76829,1055,3109,54311,78385,45618,30262,57911,8788,62554,100453,60014,12910,15489,41113,76960,86181,72872,67246,4275,88062,1213,20157,90822,21707,45772,23763,72425,45810,76022,77056,22281,71957,45861,6969,57659,58171,53059,10750,115527,96075,36174,41299,83801,52062,38242,57208,12160,78723
16,87049,28173,97806,51727,15890,93215,38432,109093,111656,59951,114223,19508,99382,96829,101956,37462,38999,94806,108633,33370,99931,29274,15454,107615,97894,98920,95338,14964,32381,109182,73854,68224,103042,59527,4235,38035,10902,11930,31391,94372,57525,53947,12477,95945,90344,93421,102126,9976,44281,35066
17,65032,98312,91146,95777,94241,21538,48165,92197,98855,81456,98353,84540,23614,81986,47173,57946,54365,81502,52326,39534,74872,85116,52872,108169,22152,51853,61589,83106,73890,90799,92338,75962,40122,100028,108741,102086,55012,98546,107258,97533,102141,105226,106769,76565,23831,88343,70947,23332,62252,56108
22,101376,103425,70659,98312,72221,50719,21538,98855,110641,98353,30778,60990,23614,106065,97369,57946,61025,28772,105066,74872,85116,107649,66182,22152,108169,49290,112782,51862,46756,89265,92338,95411,48820,40122,75962,91337,112331,29387,47847,54003,23800,102141,88343,100120,56097,28450,68389,106791,65832,30506
25,52742,38922,40460,109070,45587,35860,113694,48165,114224,68148,114231,88636,98876,29251,94788,55365,60486,88653,57934,44114,62549,31323,35938,76390,78952,75373,66157,57971,109189,101511,66184,105615,11413,108182,30906,31937,51913,29387,114397,79583,57571,50916,37094,69369,46335,77569,116486,92423,53520,87830
26,16387,52742,59910,38922,109070,32283,113694,73759,48165,47653,68651,114224,114231,98876,88636,94788,55365,88653,44114,109651,31323,66653,67170,76390,46695,78952,66157,75373,57971,7800,101511,66184,113801,105615,11413,38041,11933,89766,50359,27838,51913,29387,104651,114397,115934,79583,57571,37094,69369,77569
27,17925,106513,11801,29730,42022,9256,78385,47670,63542,80440,83514,78404,4685,24148,46172,91231,33375,109152,35939,50276,18537,1648,27249,82035,74358,26235,17539,46730,12429,51360,21671,28840,42155,42159,7344,46261,704,35012,61129,72905,15564,84690,6870,71386,50909,107747,69359,4852,6900,91902
28,1025,25609,46602,49164,113683,3607,111640,6180,107570,7736,574,79956,89179,9825,44641,14437,17510,25717,21622,4743,4744,29851,6822,18089,3242,2218,3244,68280,5826,54470,24267,14552,20704,25313,5345,22262,51455,7936,58627,4365,75021,86290,25874,25876,3349,64278,10031,115517,111937,61771
34,3585,75785,18451,87092,7734,97346,15432,75339,109133,16977,28754,113236,51803,16993,15980,39021,7792,22649,58492,33417,139,56466,40092,6305,66742,107195,1213,69313,27851,112334,6866,36567,2264,3295,63711,70372,10479,53488,28913,89843,107251,90880,42754,16646,3336,3851,89874,69397,40732,29994
35,52742,38922,109070,45587,35860,113694,73759,48165,50222,114224,114231,98876,88636,94788,55365,88653,44114,49234,31323,66653,35938,76390,78952,75373,66157,57971,109189,101511,66184,113801,105615,11413,108182,52373,76974,30906,27838,31937,51913,29387,110812,114397,79583,57571,37094,69369,46335,116486,92423,53520
36,110593,112129,113674,115734,114712,107032,114207,114217,116787,110645,112185,108105,113740,109136,112723,101460,111189,112214,116327,25708,112239,116851,110709,113781,110711,115323,114307,112262,112283,111260,112796,115868,113322,114858,25265,110777,112830,113855,108744,113356,113868,109262,109264,110298,60128,116452,110311,109288,112377,112388
39,52742,81929,103952,70676,47127,61977,19491,30245,8748,45105,100405,88636,55365,101962,106571,57934,46672,62561,60010,59500,72305,57971,101499,85633,96915,87708,53414,70826,91822,12982,49335,77497,40125,102078,51913,26825,64209,105175,96481,41189,88808,96497,113914,82188,16153,29470,40743,58155,46892,46894
44,52742,38922,40460,109070,35860,113694,48165,114224,68148,114231,88636,98876,94788,55365,60486,88653,57934,44114,49234,62549,31323,66653,35938,76390,78952,75373,66157,57971,109189,101511,66184,105615,11413,108182,30906,31937,51913,29387,114397,79583,57571,50916,37094,69369,46335,77569,116486,92423,53520,87830
45,52742,38922,40460,109070,113694,73759,48165,50222,114224,114231,98876,88636,94788,55365,88653,44114,109651,49234,31323,66653,67170,76390,78952,75373,66157,57971,109189,101511,66184,105615,11413,52373,108182,89766,27838,51913,29387,104651,114397,79583,57571,37094,69369,46335,77569,116486,92423,53520,87830,29470
47,52742,38922,40460,109070,45587,35860,113694,48165,114224,68148,114231,88636,98876,29251,94788,55365,60486,88653,57934,44114,62549,59482,31323,35938,76390,78952,75373,66157,57971,109189,101511,66184,105615,11413,108182,30906,31937,51913,29387,114397,57571,50916,37094,69369,46335,77569,116486,92423,53520,87830
